epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,332.627,0.39984,0.2996,0.89225,0.97201,1,0.99462,0.92683,0.4756,0.28772,0.89326,0.000911,0.000911,0.000911
57,338.171,0.40564,0.29748,0.89162,0.9873,0.99658,0.99462,0.92012,0.46615,0.26877,0.88342,0.0008912,0.0008912,0.0008912
58,343.259,0.40471,0.29557,0.87645,0.98619,0.98718,0.99424,0.93033,0.47953,0.27999,0.89221,0.0008714,0.0008714,0.0008714
59,349.795,0.3951,0.27998,0.88115,0.98679,0.98718,0.994,0.93967,0.47259,0.27547,0.89663,0.0008516,0.0008516,0.0008516
60,355.01,0.3987,0.29451,0.88673,0.99838,0.98718,0.99376,0.92788,0.47294,0.28064,0.88714,0.0008318,0.0008318,0.0008318
61,360.894,0.4101,0.27706,0.89563,0.99832,0.98718,0.9933,0.9329,0.49248,0.27842,0.89984,0.000812,0.000812,0.000812
62,367.098,0.39204,0.27653,0.88352,0.99809,0.98718,0.99429,0.93084,0.47214,0.27164,0.89237,0.0007922,0.0007922,0.0007922
63,373.418,0.39795,0.28185,0.88624,0.98731,0.99775,0.99475,0.93657,0.47584,0.28372,0.89858,0.0007724,0.0007724,0.0007724
64,378.607,0.3926,0.27719,0.86108,0.97495,0.99788,0.99462,0.93128,0.46468,0.28353,0.89622,0.0007526,0.0007526,0.0007526
65,383.491,0.39079,0.27332,0.88068,0.98732,0.998,0.99475,0.9288,0.46873,0.28615,0.89629,0.0007328,0.0007328,0.0007328
66,390.106,0.38636,0.27642,0.88063,0.98734,0.99978,0.99487,0.93461,0.46976,0.27122,0.89657,0.000713,0.000713,0.000713
67,395.948,0.39671,0.29289,0.87701,0.98733,0.99905,0.99475,0.93715,0.46054,0.2697,0.89304,0.0006932,0.0006932,0.0006932
68,402.211,0.38494,0.27098,0.88395,0.99864,0.98718,0.99487,0.93268,0.46318,0.26765,0.89072,0.0006734,0.0006734,0.0006734
69,408.119,0.38393,0.28036,0.87764,1,0.99969,0.995,0.94106,0.4711,0.26582,0.89444,0.0006536,0.0006536,0.0006536
70,413.98,0.38632,0.28043,0.88368,0.99944,1,0.995,0.93262,0.47192,0.26062,0.88876,0.0006338,0.0006338,0.0006338
71,419.644,0.36869,0.26705,0.87322,0.98652,1,0.99487,0.93607,0.48003,0.26394,0.89474,0.000614,0.000614,0.000614
72,426.08,0.38491,0.27256,0.87578,0.98683,1,0.99437,0.9335,0.4732,0.27277,0.89278,0.0005942,0.0005942,0.0005942
73,431.079,0.37286,0.26293,0.9015,0.9866,1,0.99424,0.929,0.47404,0.27586,0.89693,0.0005744,0.0005744,0.0005744
74,436.249,0.38806,0.27588,0.89743,0.985,0.98718,0.99126,0.92512,0.45759,0.28197,0.89479,0.0005546,0.0005546,0.0005546
75,443.144,0.37472,0.26723,0.87411,0.98699,0.97293,0.98938,0.92656,0.46367,0.28759,0.89085,0.0005348,0.0005348,0.0005348
76,448.63,0.37484,0.26483,0.87659,0.987,0.97315,0.98992,0.92579,0.46883,0.28001,0.89701,0.000515,0.000515,0.000515
77,455.105,0.37736,0.2673,0.87558,0.986,1,0.99437,0.93099,0.47012,0.2648,0.89985,0.0004952,0.0004952,0.0004952
78,460.91,0.37482,0.26832,0.88947,0.98529,1,0.99475,0.9307,0.49837,0.26651,0.9086,0.0004754,0.0004754,0.0004754
79,467.484,0.37701,0.26574,0.88422,0.98536,1,0.99462,0.93107,0.46878,0.26168,0.8914,0.0004556,0.0004556,0.0004556
80,473.29,0.3829,0.28135,0.88592,0.9739,1,0.99449,0.92961,0.49485,0.27269,0.90701,0.0004358,0.0004358,0.0004358
81,479.699,0.3662,0.25739,0.8741,0.97438,1,0.99424,0.92379,0.46242,0.26907,0.89691,0.000416,0.000416,0.000416
82,485.668,0.4028,0.28499,0.88412,0.96339,0.98718,0.99386,0.93824,0.45874,0.27123,0.88718,0.0003962,0.0003962,0.0003962
83,492.989,0.38323,0.27889,0.88123,0.98681,0.95928,0.98867,0.92368,0.48124,0.28762,0.9048,0.0003764,0.0003764,0.0003764
